text,label
Спасибо за розыгрыш!,0
Когда будут результаты?,0
Удачи всем участникам!,0
Поздравляю победителей!,0
Классный приз, надеюсь выиграть,0
А можно участвовать из любой страны?,0
Интересно, кто победит,0
С нетерпением жду итогов,0
Отличный канал, спасибо за конкурсы,0
Где можно посмотреть результаты?,0
Когда следующий розыгрыш?,0
Я тоже хочу такой подарок!,0
Успехов организаторам!,0
Спасибо за возможность выиграть,0
Очень крутой приз,0
А приз можно выбрать?,0
Как узнать, выиграл я или нет?,0
Жду результатов с нетерпением,0
Спасибо большое за подарки,0
Вы лучшие!,0
Ребята, а когда раздача?,0
Отличный канал, всем советую,0
Спасибо за вашу работу,0
Приятно участвовать в ваших конкурсах,0
Надеюсь на победу,0
А призы уже отправили?,0
Классный розыгрыш, спасибо,0
Удачи всем,0
Поздравляю счастливчика,0
Хороший приз,0
Спасибо за конкурс,0
Очень нравится ваш канал,0
А можно участвовать каждый день?,0
Когда закончится розыгрыш?,0
Ждем новых конкурсов,0
Отличная идея с подарками,0
Спасибо, что радуете нас,0
Класс, спасибо,0
Буду участвовать,0
Интересный розыгрыш,0
Желаю всем удачи,0
Спасибо за отличный канал,0
А когда следующий конкурс?,0
Очень рад участвовать,0
Классный канал, спасибо,0
Удачи организаторам,0
Спасибо за подарки,0
Ждем итогов,0
Круто, спасибо,0
А где можно посмотреть условия?,0
Прикольный приз,0
Надеюсь выиграть,0
Спасибо за шанс,0
Очень классный канал,0
Благодарю за конкурсы,0
Жду результатов,0
Классный розыгрыш,0
Участвую с удовольствием,0
Спасибо за вашу активность,0
Когда розыгрыш закончится?,0
Красивый приз,0
Всем удачи,0
Спасибо организаторам,0
Ждем новых конкурсов,0
Классный канал,0
Спасибо за подарки,0
Интересно, какие будут призы,0
Удачи,0
Отлично, спасибо,0
Поздравляю победителя,0
Спасибо за розыгрыш,0
Жду с нетерпением,0
Крутой канал,0
Надеюсь на победу,0
Спасибо за конкурс,0
Очень нравится,0
Благодарю за возможность,0
Ждем результатов,0
Классный приз,0
Участвую,0
Спасибо большое,0
Отличный розыгрыш,0
Поздравляю,0
Желаю удачи,0
Спасибо,0
Круто,0
класс,0
Отлично,0
Супер,0
Благодарю,0
Ура,0
Здорово,0
Интересно,0
Вау,0
Ого,0
Красота,0
Хорошо,0
Ок,0
Понятно,0
Хорошего дня,0
Всем привет,0
Привет,0
Добрый вечер,0
Спасибо за информацию,0
Забери подарок по ссылке t.me/scamchannel,1
Бесплатные айфоны только сегодня! Жми сюда: bit.ly/scam,1
Успей получить свой приз! Переходи в канал @prizobot,1
Розыгрыш каждый день! Подпишись и забери подарок,1
Бесплатные подарки за подписку – t.me/fakegiveaway,1
Дарим айфоны всем! Заходи на канал и участвуй,1
Конкурс! 100 победителей! Ссылка в описании,1
Хочешь айфон? Забирай здесь: @scamchannel,1
Подарки за лайк! Перейди и получи,1
